State Code,State Name,Type,Male,Female,Total
20,Kansas,Accountants,7875.0,12968.0,20843
21,Kentucky,Accountants,7876.0,12478.0,20354
22,Louisiana,Accountants,6245.0,19945.0,26190
23,Maine,Accountants,2118.0,4165.0,6283
24,Maryland,Accountants,19806.0,32186.0,51992
25,Massachusetts,Accountants,24140.0,33033.0,57173
26,Michigan,Accountants,18940.0,33632.0,52572
27,Minnesota,Accountants,15148.0,25844.0,40992
28,Mississippi,Accountants,3085.0,7726.0,10811
29,Missouri,Accountants,13600.0,23151.0,36751
30,Montana,Accountants,936.0,3771.0,4707
31,Nebraska,Accountants,5044.0,9665.0,14709
32,Nevada,Accountants,6117.0,9842.0,15959
33,New Hampshire,Accountants,2414.0,5880.0,8294
34,New Jersey,Accountants,38187.0,41206.0,79393
35,New Mexico,Accountants,3107.0,6522.0,9629
36,New York,Accountants,70341.0,76617.0,146958
37,North Carolina,Accountants,20746.0,36578.0,57324
38,North Dakota,Accountants,1225.0,4863.0,6088
39,Ohio,Accountants,27122.0,42601.0,69723
40,Oklahoma,Accountants,8738.0,16608.0,25346
41,Oregon,Accountants,6872.0,15727.0,22599
42,Pennsylvania,Accountants,38436.0,45509.0,83945
44,Rhode Island,Accountants,2762.0,4131.0,6893
45,South Carolina,Accountants,7735.0,14711.0,22446
46,South Dakota,Accountants,1532.0,3063.0,4595
47,Tennessee,Accountants,13897.0,23799.0,37696
48,Texas,Accountants,66063.0,111583.0,177646
49,Utah,Accountants,9331.0,8208.0,17539
50,Vermont,Accountants,957.0,2814.0,3771
51,Virginia,Accountants,20682.0,36916.0,57598
53,Washington,Accountants,14780.0,32432.0,47212
54,West Virginia,Accountants,2092.0,4221.0,6313
55,Wisconsin,Accountants,12748.0,23317.0,36065
56,Wyoming,Accountants,729.0,1589.0,2318
72,Puerto Rico,Accountants,9443.0,10987.0,20430
