State Code,State Name,Type,Male,Female,Total
25,Massachusetts,Psychiatric,6720.0,51499.0,58219
26,Michigan,Psychiatric,7655.0,59900.0,67555
27,Minnesota,Psychiatric,6885.0,36394.0,43279
28,Mississippi,Psychiatric,2212.0,14475.0,16687
29,Missouri,Psychiatric,6195.0,41785.0,47980
30,Montana,Psychiatric,1225.0,5984.0,7209
31,Nebraska,Psychiatric,936.0,14111.0,15047
32,Nevada,Psychiatric,645.0,7953.0,8598
33,New Hampshire,Psychiatric,597.0,7443.0,8040
34,New Jersey,Psychiatric,7505.0,52542.0,60047
35,New Mexico,Psychiatric,2432.0,8557.0,10989
36,New York,Psychiatric,27098.0,227533.0,254631
37,North Carolina,Psychiatric,9436.0,62343.0,71779
38,North Dakota,Psychiatric,997.0,6426.0,7423
39,Ohio,Psychiatric,9472.0,84765.0,94237
40,Oklahoma,Psychiatric,2866.0,22279.0,25145
41,Oregon,Psychiatric,4152.0,11768.0,15920
42,Pennsylvania,Psychiatric,11350.0,81139.0,92489
44,Rhode Island,Psychiatric,917.0,10506.0,11423
45,South Carolina,Psychiatric,1523.0,29368.0,30891
46,South Dakota,Psychiatric,596.0,6519.0,7115
47,Tennessee,Psychiatric,4886.0,30190.0,35076
48,Texas,Psychiatric,22135.0,125627.0,147762
49,Utah,Psychiatric,2736.0,9902.0,12638
50,Vermont,Psychiatric,664.0,2331.0,2995
51,Virginia,Psychiatric,3808.0,37083.0,40891
53,Washington,Psychiatric,4486.0,27426.0,31912
54,West Virginia,Psychiatric,2244.0,10689.0,12933
55,Wisconsin,Psychiatric,3663.0,38675.0,42338
56,Wyoming,Psychiatric,502.0,4555.0,5057
72,Puerto Rico,Psychiatric,1764.0,5832.0,7596
01,Alabama,Religious,10315.0,3609.0,13924
02,Alaska,Religious,1235.0,551.0,1786
04,Arizona,Religious,5410.0,3209.0,8619
05,Arkansas,Religious,5160.0,1972.0,7132
06,California,Religious,39478.0,20834.0,60312
08,Colorado,Religious,6092.0,3308.0,9400
09,Connecticut,Religious,2784.0,1548.0,4332
10,Delaware,Religious,1417.0,558.0,1975
11,District of Columbia,Religious,366.0,494.0,860
12,Florida,Religious,25401.0,11460.0,36861
13,Georgia,Religious,15906.0,7092.0,22998
15,Hawaii,Religious,1113.0,553.0,1666
16,Idaho,Religious,2219.0,414.0,2633
17,Illinois,Religious,17553.0,8979.0,26532
18,Indiana,Religious,10167.0,3110.0,13277
19,Iowa,Religious,4434.0,2086.0,6520
20,Kansas,Religious,4441.0,2059.0,6500
21,Kentucky,Religious,6563.0,2294.0,8857
22,Louisiana,Religious,6554.0,1944.0,8498
23,Maine,Religious,1673.0,486.0,2159
24,Maryland,Religious,8180.0,3471.0,11651
25,Massachusetts,Religious,5389.0,3234.0,8623
26,Michigan,Religious,11478.0,6685.0,18163
27,Minnesota,Religious,8066.0,5188.0,13254
28,Mississippi,Religious,5823.0,1273.0,7096
29,Missouri,Religious,10550.0,5698.0,16248
30,Montana,Religious,2046.0,641.0,2687
31,Nebraska,Religious,4539.0,1527.0,6066
32,Nevada,Religious,1606.0,819.0,2425
33,New Hampshire,Religious,1753.0,789.0,2542
34,New Jersey,Religious,8457.0,3456.0,11913
35,New Mexico,Religious,2044.0,790.0,2834
36,New York,Religious,18996.0,7819.0,26815
37,North Carolina,Religious,17805.0,4797.0,22602
38,North Dakota,Religious,1383.0,691.0,2074
39,Ohio,Religious,14917.0,8854.0,23771
40,Oklahoma,Religious,6588.0,3646.0,10234
41,Oregon,Religious,6866.0,2410.0,9276
42,Pennsylvania,Religious,18505.0,8663.0,27168
44,Rhode Island,Religious,1634.0,612.0,2246
45,South Carolina,Religious,11934.0,2903.0,14837
46,South Dakota,Religious,1364.0,674.0,2038
47,Tennessee,Religious,13527.0,6064.0,19591
48,Texas,Religious,33695.0,14795.0,48490
49,Utah,Religious,2649.0,777.0,3426
50,Vermont,Religious,1100.0,235.0,1335
51,Virginia,Religious,12593.0,6310.0,18903
53,Washington,Religious,8581.0,5325.0,13906
54,West Virginia,Religious,2458.0,826.0,3284
55,Wisconsin,Religious,7277.0,3128.0,10405
56,Wyoming,Religious,515.0,190.0,705
72,Puerto Rico,Religious,1693.0,407.0,2100
01,Alabama,Counsolers,0,18320.0,18320
02,Alaska,Counsolers,0,6301.0,6301
04,Arizona,Counsolers,0,27661.0,27661
05,Arkansas,Counsolers,0,12404.0,12404
06,California,Counsolers,0,185081.0,185081
08,Colorado,Counsolers,0,29057.0,29057
09,Connecticut,Counsolers,0,23942.0,23942
10,Delaware,Counsolers,0,7565.0,7565
11,District of Columbia,Counsolers,0,5509.0,5509
12,Florida,Counsolers,0,76424.0,76424
13,Georgia,Counsolers,0,40858.0,40858
15,Hawaii,Counsolers,0,6418.0,6418
16,Idaho,Counsolers,0,8038.0,8038
17,Illinois,Counsolers,0,56422.0,56422
18,Indiana,Counsolers,0,29788.0,29788
19,Iowa,Counsolers,0,15104.0,15104
20,Kansas,Counsolers,0,15471.0,15471
21,Kentucky,Counsolers,0,19908.0,19908
22,Louisiana,Counsolers,0,22866.0,22866
23,Maine,Counsolers,0,9928.0,9928
24,Maryland,Counsolers,0,35906.0,35906
25,Massachusetts,Counsolers,0,53503.0,53503
26,Michigan,Counsolers,0,46601.0,46601
27,Minnesota,Counsolers,0,36077.0,36077
28,Mississippi,Counsolers,0,11663.0,11663
29,Missouri,Counsolers,0,28715.0,28715
30,Montana,Counsolers,0,4969.0,4969
31,Nebraska,Counsolers,0,10334.0,10334
32,Nevada,Counsolers,0,9459.0,9459
33,New Hampshire,Counsolers,0,7727.0,7727
34,New Jersey,Counsolers,0,56233.0,56233
35,New Mexico,Counsolers,0,10927.0,10927
36,New York,Counsolers,0,137849.0,137849
37,North Carolina,Counsolers,0,48744.0,48744
38,North Dakota,Counsolers,0,5056.0,5056
39,Ohio,Counsolers,0,55373.0,55373
40,Oklahoma,Counsolers,0,19564.0,19564
41,Oregon,Counsolers,0,22948.0,22948
42,Pennsylvania,Counsolers,0,74910.0,74910
44,Rhode Island,Counsolers,0,5098.0,5098
45,South Carolina,Counsolers,0,22511.0,22511
46,South Dakota,Counsolers,0,5437.0,5437
47,Tennessee,Counsolers,0,25354.0,25354
48,Texas,Counsolers,0,105919.0,105919
49,Utah,Counsolers,0,11370.0,11370
50,Vermont,Counsolers,0,4879.0,4879
51,Virginia,Counsolers,0,47205.0,47205
53,Washington,Counsolers,0,38188.0,38188
54,West Virginia,Counsolers,0,8328.0,8328
55,Wisconsin,Counsolers,0,32459.0,32459
56,Wyoming,Counsolers,0,3674.0,3674
72,Puerto Rico,Counsolers,0,10298.0,10298
01,Alabama,Child Care,707.0,15091.0,15798
02,Alaska,Child Care,791.0,2849.0,3640
04,Arizona,Child Care,2536.0,23738.0,26274
05,Arkansas,Child Care,314.0,11618.0,11932
06,California,Child Care,14948.0,153040.0,167988
08,Colorado,Child Care,1192.0,18485.0,19677
09,Connecticut,Child Care,834.0,14745.0,15579
10,Delaware,Child Care,482.0,3040.0,3522
11,District of Columbia,Child Care,119.0,3507.0,3626
12,Florida,Child Care,3887.0,49141.0,53028
13,Georgia,Child Care,1390.0,33287.0,34677
15,Hawaii,Child Care,752.0,3402.0,4154
16,Idaho,Child Care,411.0,5678.0,6089
17,Illinois,Child Care,2778.0,54157.0,56935
18,Indiana,Child Care,857.0,24041.0,24898
19,Iowa,Child Care,907.0,18753.0,19660
20,Kansas,Child Care,892.0,14781.0,15673
21,Kentucky,Child Care,1114.0,15632.0,16746
22,Louisiana,Child Care,548.0,13592.0,14140
23,Maine,Child Care,479.0,5297.0,5776
24,Maryland,Child Care,1984.0,32350.0,34334
25,Massachusetts,Child Care,1565.0,27806.0,29371
26,Michigan,Child Care,1658.0,32735.0,34393
27,Minnesota,Child Care,1425.0,28413.0,29838
28,Mississippi,Child Care,201.0,6870.0,7071
29,Missouri,Child Care,2616.0,24542.0,27158
30,Montana,Child Care,282.0,5030.0,5312
31,Nebraska,Child Care,522.0,11581.0,12103
32,Nevada,Child Care,670.0,6440.0,7110
33,New Hampshire,Child Care,562.0,4539.0,5101
34,New Jersey,Child Care,3101.0,39412.0,42513
35,New Mexico,Child Care,254.0,7781.0,8035
36,New York,Child Care,6629.0,107009.0,113638
37,North Carolina,Child Care,1028.0,32897.0,33925
38,North Dakota,Child Care,504.0,5633.0,6137
39,Ohio,Child Care,2036.0,36475.0,38511
40,Oklahoma,Child Care,1481.0,14989.0,16470
41,Oregon,Child Care,1053.0,15899.0,16952
42,Pennsylvania,Child Care,3700.0,41908.0,45608
44,Rhode Island,Child Care,83.0,5264.0,5347
45,South Carolina,Child Care,1247.0,15240.0,16487
46,South Dakota,Child Care,790.0,5455.0,6245
47,Tennessee,Child Care,2792.0,20004.0,22796
48,Texas,Child Care,7149.0,98652.0,105801
49,Utah,Child Care,580.0,11669.0,12249
50,Vermont,Child Care,493.0,2783.0,3276
51,Virginia,Child Care,3105.0,41767.0,44872
53,Washington,Child Care,1853.0,30631.0,32484
54,West Virginia,Child Care,317.0,5882.0,6199
55,Wisconsin,Child Care,1085.0,21886.0,22971
56,Wyoming,Child Care,21.0,2390.0,2411
72,Puerto Rico,Child Care,0.0,2686.0,2686
